q0,q1,Neff,k1,k2,k3,k4
0.01,0.25,1,0.096,0.086,0.079,0.69
0.01,0.25,2,0.139,0.119,0.784,0.799
0.01,0.25,3,0.243,0.816,0.826,0.841
0.01,0.25,4,0.899,0.897,0.903,0.895
0.01,0.5,1,0.098,0.084,0.086,0.704
0.01,0.5,2,0.138,0.116,0.791,0.798
0.01,0.5,3,0.243,0.811,0.83,0.843
0.01,0.5,4,0.9,0.9,0.904,0.896
0.01,0.75,1,0.094,0.09,0.079,0.68
0.01,0.75,2,0.137,0.116,0.784,0.793
0.01,0.75,3,0.239,0.821,0.828,0.839
0.01,0.75,4,0.9,0.899,0.902,0.893
0.01,0.99,1,0.094,0.082,0.085,0.699
0.01,0.99,2,0.134,0.112,0.789,0.801
0.01,0.99,3,0.239,0.814,0.827,0.843
0.01,0.99,4,0.901,0.9,0.902,0.898
0.25,0.25,1,0.094,0.086,0.08,0.697
0.25,0.25,2,0.142,0.114,0.789,0.798
0.25,0.25,3,0.237,0.815,0.821,0.839
0.25,0.25,4,0.902,0.894,0.9,0.893
0.25,0.5,1,0.09,0.085,0.078,0.692
0.25,0.5,2,0.131,0.112,0.786,0.797
0.25,0.5,3,0.234,0.812,0.817,0.838
0.25,0.5,4,0.902,0.897,0.901,0.896
0.25,0.75,1,0.093,0.083,0.075,0.692
0.25,0.75,2,0.127,0.112,0.782,0.788
0.25,0.75,3,0.233,0.809,0.818,0.833
0.25,0.75,4,0.896,0.895,0.894,0.891
0.25,0.99,1,0.092,0.08,0.073,0.691
0.25,0.99,2,0.128,0.109,0.787,0.795
0.25,0.99,3,0.233,0.81,0.816,0.832
0.25,0.99,4,0.895,0.891,0.896,0.891
0.5,0.25,1,0.095,0.083,0.079,0.695
0.5,0.25,2,0.131,0.11,0.787,0.804
0.5,0.25,3,0.233,0.81,0.822,0.836
0.5,0.25,4,0.894,0.893,0.898,0.886
0.5,0.5,1,0.098,0.085,0.081,0.712
0.5,0.5,2,0.134,0.127,0.8,0.803
0.5,0.5,3,0.232,0.822,0.823,0.838
0.5,0.5,4,0.895,0.898,0.905,0.894
0.5,0.75,1,0.095,0.084,0.077,0.707
0.5,0.75,2,0.143,0.125,0.786,0.807
0.5,0.75,3,0.238,0.817,0.828,0.845
0.5,0.75,4,0.899,0.899,0.902,0.9
0.5,0.99,1,0.105,0.087,0.081,0.709
0.5,0.99,2,0.16,0.142,0.792,0.807
0.5,0.99,3,0.243,0.83,0.835,0.851
0.5,0.99,4,0.908,0.902,0.912,0.901
0.75,0.5,1,0.1,0.089,0.086,0.701
0.75,0.5,2,0.141,0.128,0.797,0.807
0.75,0.5,3,0.239,0.822,0.834,0.852
0.75,0.5,4,0.902,0.901,0.906,0.899
0.75,0.75,1,0.108,0.092,0.083,0.703
0.75,0.75,2,0.16,0.147,0.8,0.807
0.75,0.75,3,0.247,0.829,0.844,0.851
0.75,0.75,4,0.904,0.909,0.913,0.901
0.75,0.99,1,0.117,0.103,0.082,0.696
0.75,0.99,2,0.176,0.168,0.796,0.811
0.75,0.99,3,0.257,0.85,0.845,0.865
0.75,0.99,4,0.912,0.912,0.915,0.908
0.99,0.99,1,0.116,0.115,0.101,0.693
0.99,0.99,2,0.19,0.194,0.785,0.809
0.99,0.99,3,0.305,0.859,0.863,0.872
0.99,0.99,4,0.93,0.921,0.925,0.923
